,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
63,1058661.951,216509.2943,64,0.184451885,0.001057903,Douglaston,64,Queens,40.768713,-73.7470765
64,988251.1451,192619.7729,65,0.044607068,8.18e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.692338,-73.987342
65,988025.7049,194936.8234,66,0.054633459,0.000108379,DUMBO/Vinegar Hill,66,Brooklyn,40.701520349999996,-73.98263650000001
66,980159.0277,164596.3439,67,0.099747078,0.000394282,Dyker Heights,67,Brooklyn,40.6204716,-74.0116668
67,984266.5814,211937.9441,68,0.04933738,0.000111073,East Chelsea,68,Manhattan,37.92252635,-96.76153777067319
68,1007671.346,241901.3543,69,0.078989645,0.000199052,East Concourse/Concourse Village,69,Bronx,32.4168154,-93.7591964
69,1020704.334,217630.9147,70,0.063840318,0.000195458,East Elmhurst,70,Queens,40.7612123,-73.8651358
70,1001529.543,173883.0425,71,0.093169455,0.000382573,East Flatbush/Farragut,71,Brooklyn,Latitude not found,Longitude not found
71,1006389.995,176995.4673,72,0.09520207,0.000323532,East Flatbush/Remsen Village,72,Brooklyn,Latitude not found,Longitude not found
72,1037837.216,213928.1612,73,0.085302021,0.0002918,East Flushing,73,Queens,40.757536599999995,-73.78430452865169
73,1001328.229,232772.3096,74,0.110290936,0.000295038,East Harlem North,74,Manhattan,40.7880556,-73.9438889
74,999491.7068,227336.8825,75,0.0876639,0.000240564,East Harlem South,75,Manhattan,40.8009185,-73.9295154
75,1017983.414,179276.9802,76,0.241203016,0.001266601,East New York,76,Brooklyn,40.6667702,-73.8823583
76,1013179.635,182555.4151,77,0.075461081,0.000191918,East New York/Pennsylvania Avenue,77,Brooklyn,40.6646501,-73.894767
77,1015612.147,247529.3595,78,0.09359445,0.000191114,East Tremont,78,Bronx,44.9576923,-64.9056817
78,988348.1213,204486.6353,79,0.042624911,0.000107893,East Village,79,Manhattan,40.7292688,-73.9873613
79,1000237.506,199582.303,80,0.117212621,0.000407322,East Williamsburg,80,Brooklyn,6.2595117,-57.3607052
80,1026966.89,258960.9358,81,0.197592772,0.000399567,Eastchester,81,Bronx,40.957233,-73.80740422459893
81,1019626.124,208344.7016,82,0.11987565,0.000323601,Elmhurst,82,Queens,41.8994745,-87.9403418
82,1014948.158,208951.0259,83,0.105984933,0.000217464,Elmhurst/Maspeth,83,Queens,Latitude not found,Longitude not found
