,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
172,1022184.763,213199.769,173,0.060063966,0.00017833,North Corona,173,Queens,40.75502486,-73.8646708
173,1018054.727,258762.4175,174,0.067817756,0.000155929,Norwood,174,Bronx,40.73967519,-74.0011923
174,1051486.558,210164.4567,175,0.134897665,0.000504921,Oakland Gardens,175,Queens,40.753991,-73.765966
175,951015.1537,144073.003,176,0.151995191,0.000657782,Oakwood,176,Staten Island,40.74777475,-73.97721138
176,1008907.123,185974.2057,177,0.071580541,0.000198895,Ocean Hill,177,Brooklyn,40.6757317,-73.9124338
177,992387.4807,164298.1671,178,0.068252877,0.000175805,Ocean Parkway South,178,Brooklyn,40.62130706,-73.96929706
178,1004521.786,220336.3096,179,0.071380864,0.000183893,Old Astoria,179,Queens,40.76194737,-73.91390167
179,1026033.916,185292.7322,180,0.080527767,0.000247682,Ozone Park,180,Queens,40.67677,-73.8437461
180,990062.887,184111.7929,181,0.08953724,0.00030689,Park Slope,181,Brooklyn,40.6701033,-73.9859723
181,1023558.863,244398.1962,182,0.039360637,9.11E-05,Parkchester,182,Bronx,40.8332047,-73.8609723
182,1030769.018,248842.877,183,0.039826296,9.52E-05,Pelham Bay,183,Bronx,40.8662112,-73.7895774
183,1038293.709,254402.5575,184,0.260815683,0.001988834,Pelham Bay Park,184,Bronx,40.85413105,-73.8221733
184,1024313.23,250253.3626,185,0.086161968,0.000228537,Pelham Parkway,185,Bronx,40.8585859,-73.8558623
185,986340.4718,211966.8662,186,0.02469639,3.71E-05,Penn Station/Madison Sq West,186,Manhattan,40.75064265,-73.99335287
186,945067.3759,167177.6035,187,0.126868431,0.000421196,Port Richmond,187,Staten Island,40.63557986,-74.12422704
187,999454.6176,178848.0044,188,0.097798397,0.000313003,Prospect-Lefferts Gardens,188,Brooklyn,40.6813072,-73.96189368
188,993051.2337,185993.8462,189,0.048674331,0.000101428,Prospect Heights,189,Brooklyn,40.67731863,-73.96783585
189,992309.7469,179954.8759,190,0.074329466,0.000270874,Prospect Park,190,Brooklyn,40.6617743,-73.97108903
190,1056016.866,199613.4021,191,0.130932638,0.000688461,Queens Village,191,Queens,40.7267692,-73.7415208
191,1035459.392,210539.6534,192,0.11196462,0.000373808,Queensboro Hill,192,Queens,40.7604978,-73.9624834
192,1000792.132,216799.1163,193,0.065529958,0.000145592,Queensbridge/Ravenswood,193,Queens,40.75494062,-73.94563327
193,1006117.101,227627.1511,194,0.081793835,0.000273482,Randalls Island,194,Manhattan,40.7967677,-73.9220815
194,981601.1839,185365.4588,195,0.131308244,0.000801652,Red Hook,195,Brooklyn,40.6751032,-74.0095841
195,1021943.971,202950.2294,196,0.083242111,0.000197471,Rego Park,196,Queens,40.72286495,-73.86210224
196,1031657.891,191801.4658,197,0.108568532,0.000504689,Richmond Hill,197,Queens,43.880078,-79.439392
197,1011423.405,195967.8698,198,0.134094243,0.00049981,Ridgewood,198,Queens,40.9796683,-74.1194403
198,1016498.527,227862.0636,199,0.077808501,0.000288748,Rikers Island,199,Bronx,40.79193175,-73.88349372
199,1010108.92,267135.0299,200,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,200,Bronx,40.8985432,-73.9009901
200,1026683.448,149700.8641,201,0.130404118,0.000619351,Rockaway Park,201,Queens,40.5805104,-73.8361535
201,997987.6043,216594.6092,202,0.069921571,0.000106175,Roosevelt Island,202,Manhattan,40.7614177,-73.95022817
202,1057297.063,179660.4438,203,0.189937816,0.00061513,Rosedale,203,Queens,40.65922482,-73.7376596
203,926723.33,136351.6441,204,0.101912418,0.000641384,Rossville/Woodrow,204,Staten Island,40.55180725,-74.20741825
204,1050079.729,191559.6782,205,0.141953388,0.000766217,Saint Albans,205,Queens,44.8107911,-73.0833607
205,950066.2578,170997.5657,206,0.212756793,0.000944393,Saint George/New Brighton,206,Staten Island,40.6471847,-74.08485093
206,1012138.643,217460.5394,207,0.028375683,4.47E-05,Saint Michaels Cemetery/Woodside,207,Queens,40.7648386,-73.89849347
207,1032714.815,239781.0488,208,0.21472101,0.002020326,Schuylerville/Edgewater Park,208,Bronx,40.83673126,-73.83177204
208,983595.777,197398.3965,209,0.030695311,3.89E-05,Seaport,209,Manhattan,40.70666382,-74.00290988
209,999709.1419,155604.6869,210,0.114851983,0.000453155,Sheepshead Bay,210,Brooklyn,40.5912161,-73.9445822
210,983868.9504,203012.498,211,0.025234508,3.97E-05,SoHo,211,Manhattan,40.72271778,-74.00155907
211,1020254.275,241067.6197,212,0.067129065,0.000161276,Soundview/Bruckner,212,Bronx,40.82416795,-73.87707623
212,1022782.513,236777.3522,213,0.159958784,0.000904078,Soundview/Castle Hill,213,Bronx,40.812824,-73.857156
213,960395.114,153009.2606,214,0.135300314,0.000811977,South Beach/Dongan Hills,214,Staten Island,40.58691051,-74.06798524
214,1042382.073,192258.2529,215,0.103556454,0.000395647,South Jamaica,215,Queens,40.67585751,-73.79924897
215,1034035.311,186002.7242,216,0.116797555,0.000816077,South Ozone Park,216,Queens,40.6701035,-73.8190231
216,996215.2572,195492.2161,217,0.055390525,0.000114733,South Williamsburg,217,Brooklyn,40.70512645,-73.95636016
217,1047462.718,184776.5703,218,0.083700828,0.000281294,Springfield Gardens North,218,Queens,40.67528083,-73.77983538
218,1050557.361,179905.8864,219,0.15512667,0.000428176,Springfield Gardens South,219,Queens,40.6671346,-73.77671779
219,1008618.071,260590.4019,220,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,220,Bronx,40.8781813,-73.9107052
220,961670.4465,165251.1835,221,0.166218221,0.000890112,Stapleton,221,Staten Island,40.62880455,-74.07940096
221,1016957.041,174971.2626,222,0.048389353,0.000130268,Starrett City,222,Brooklyn,40.6478541,-73.87951546
222,1010097.755,222807.4149,223,0.166021925,0.000764361,Steinway,223,Queens,40.7745459,-73.9037477
223,990391.0437,205865.6517,224,0.044020446,9.85E-05,Stuy Town/Peter Cooper Village,224,Manhattan,40.73203722,-73.97789557
224,1003262.224,190226.848,225,0.088799207,0.000310835,Stuyvesant Heights,225,Brooklyn,42.387863,-73.775751
225,1003837.482,207164.4234,226,0.168957762,0.000761944,Sunnyside,226,Queens,40.7433388,-73.92148657
226,982364.3506,173027.7704,227,0.082830157,0.000268317,Sunset Park East,227,Brooklyn,40.64826113,-74.0200477
227,981486.2307,177407.2779,228,0.177685178,0.000993415,Sunset Park West,228,Brooklyn,40.63744479,-74.0108076
228,993898.33,214924.4994,229,0.04252529,9.47E-05,Sutton Place/Turtle Bay North,229,Manhattan,40.75765147,-73.96166995
229,988633.7086,216109.0411,230,0.03102831,5.61E-05,Times Sq/Theatre District,230,Manhattan,40.75816811,-73.98552457
230,982389.5171,201116.7965,231,0.063420117,0.00016693,TriBeCa/Civic Center,231,Manhattan,40.7169865,-74.0921079
231,989154.8792,199911.4479,232,0.061470909,0.00021605,Two Bridges/Seward Park,232,Manhattan,40.7144978,-73.98854356
232,992214.2877,212221.5621,233,0.048035918,0.000116188,UN/Turtle Bay South,233,Manhattan,40.76068021,-73.96656144
233,986888.7771,208992.9156,234,0.036072199,7.31E-05,Union Sq,234,Manhattan,40.7359091,-73.9901626
234,1007773.36,250243.0561,235,0.076166843,0.000212845,University Heights/Morris Heights,235,Bronx,40.8540951,-73.9198195
